,Estado,Idade,Casos_F,Casos_M,Obitos_F,Obitos_M
14,pb,14,748,604,1,0
15,pb,15,896,662,0,0
16,pb,16,967,763,0,0
17,pb,17,1106,880,0,0
18,pb,18,1391,1064,0,0
19,pb,19,1613,1397,0,0
20,pb,20,1835,1455,0,0
21,pb,21,2081,1654,0,0
22,pb,22,2186,1751,0,1
23,pb,23,2262,1945,0,1
24,pb,24,2648,2145,0,0
25,pb,25,2797,2163,2,1
26,pb,26,2775,2249,0,0
27,pb,27,2756,2335,0,0
28,pb,28,2796,2206,2,0
29,pb,29,2982,2273,0,2
30,pb,30,2904,2294,0,0
31,pb,31,3065,2483,1,1
32,pb,32,3352,2580,0,1
33,pb,33,3479,2732,0,2
34,pb,34,3580,2768,2,1
35,pb,35,3563,2778,2,1
36,pb,36,3340,2712,1,2
37,pb,37,3297,2627,1,0
38,pb,38,3355,2815,2,2
39,pb,39,3622,2778,1,1
40,pb,40,3331,2604,3,0
41,pb,41,3174,2514,4,2
42,pb,42,3194,2532,1,4
43,pb,43,2867,2182,2,1
44,pb,44,2898,2181,0,2
45,pb,45,2676,2094,3,4
46,pb,46,2774,2005,4,4
47,pb,47,2529,1890,1,2
48,pb,48,2525,1831,4,2
49,pb,49,2349,1772,0,3
50,pb,50,2399,1742,1,3
51,pb,51,2311,1649,1,4
52,pb,52,2269,1675,2,5
53,pb,53,2257,1598,3,0
54,pb,54,2140,1627,1,2
55,pb,55,2036,1538,5,4
56,pb,56,2030,1498,4,4
57,pb,57,1943,1402,2,3
58,pb,58,1737,1359,4,1
59,pb,59,1587,1215,5,0
60,pb,60,1458,1091,4,2
61,pb,61,1390,1026,7,1
62,pb,62,1182,1072,3,7
63,pb,63,1301,903,3,1
64,pb,64,1132,954,3,3
65,pb,65,1049,753,6,7
66,pb,66,1061,797,4,4
67,pb,67,1016,685,6,6
68,pb,68,929,656,5,7
69,pb,69,721,617,6,3
70,pb,70,827,608,2,7
71,pb,71,781,581,4,7
72,pb,72,710,541,5,6
73,pb,73,677,490,4,5
74,pb,74,582,474,10,5
75,pb,75,535,454,5,8
76,pb,76,542,415,4,7
77,pb,77,467,319,5,3
78,pb,78,447,343,2,5
79,pb,79,410,308,10,7
80,pb,80,450,306,6,3
81,pb,81,362,309,8,6
82,pb,82,319,240,7,8
83,pb,83,268,201,2,4
84,pb,84,311,206,6,5
85,pb,85,280,189,11,10
86,pb,86,222,160,4,1
87,pb,87,171,120,1,6
88,pb,88,161,109,3,6
89,pb,89,153,101,1,5
90,pb,90,140,74,1,5
91,pb,91,133,60,3,2
92,pb,92,81,46,2,4
93,pb,93,73,53,6,3
94,pb,94,70,36,3,3
95,pb,95,53,33,1,0
96,pb,96,43,29,1,1
97,pb,97,26,19,0,2
98,pb,98,19,22,0,1
99,pb,99,17,13,1,0
100,pb,100,22,12,1,1
101,pb,101,13,4,0,0
102,pb,102,6,2,0,0
103,pb,103,3,7,0,0
104,pb,104,3,0,0,0
105,pb,105,2,1,0,0
106,pb,106,3,2,0,0
107,pb,107,1,2,0,0
108,pb,108,3,1,0,0
109,pb,109,0,0,0,0
0,pe,0,1407,1266,1,2
1,pe,1,839,939,1,0
2,pe,2,739,739,1,0
3,pe,3,625,679,0,0
4,pe,4,544,570,0,0
5,pe,5,649,718,0,0
6,pe,6,708,716,0,0
7,pe,7,691,695,0,0
8,pe,8,752,780,0,1
9,pe,9,867,729,1,0
10,pe,10,844,789,1,0
11,pe,11,934,864,1,1
12,pe,12,1051,995,1,0
13,pe,13,1166,973,0,0
14,pe,14,1337,1126,0,0
15,pe,15,1688,1260,0,1
16,pe,16,1812,1368,1,1
17,pe,17,2196,1611,0,2
18,pe,18,2490,1959,0,2
19,pe,19,2912,2421,0,0
20,pe,20,3574,2848,3,0
21,pe,21,4104,3288,1,0
22,pe,22,4317,3490,0,0
23,pe,23,4801,3791,1,0
24,pe,24,5105,4126,1,2
25,pe,25,5673,4422,1,1
26,pe,26,5720,4424,0,3
27,pe,27,5690,4549,0,0
28,pe,28,5816,4589,2,1
29,pe,29,6167,4971,2,1
30,pe,30,6107,5096,2,2
31,pe,31,6566,5206,2,3
32,pe,32,6739,5522,3,0
33,pe,33,6814,5503,2,0
34,pe,34,6854,5813,6,4
35,pe,35,6854,5661,3,2
36,pe,36,6623,5385,2,4
37,pe,37,6667,5421,2,4
38,pe,38,6797,5606,1,1
39,pe,39,7092,5664,1,8
40,pe,40,6542,5248,2,9
41,pe,41,6327,5100,3,1
42,pe,42,6115,4965,6,2
43,pe,43,5930,4896,2,6
44,pe,44,5927,4797,1,3
45,pe,45,5646,4474,2,6
46,pe,46,5455,4210,2,5
47,pe,47,5412,4130,1,4
48,pe,48,5357,4177,1,4
49,pe,49,5035,3923,5,4
50,pe,50,4716,3788,3,5
51,pe,51,4778,3621,2,6
52,pe,52,4640,3475,2,5
53,pe,53,4402,3276,7,5
54,pe,54,4396,3307,6,4
55,pe,55,4186,3064,5,6
56,pe,56,4159,3044,2,3
57,pe,57,3843,2913,3,4
58,pe,58,3671,2709,5,6
59,pe,59,3200,2545,9,3
60,pe,60,3061,2381,6,2
61,pe,61,2739,2118,4,4
62,pe,62,2506,1877,9,4
63,pe,63,2342,1791,3,5
64,pe,64,2115,1648,5,4
65,pe,65,2150,1603,9,6
66,pe,66,2001,1477,4,2
67,pe,67,1758,1374,5,9
68,pe,68,1701,1321,4,3
69,pe,69,1453,1130,1,3
70,pe,70,1440,1138,5,6
71,pe,71,1316,992,9,1
72,pe,72,1207,973,7,1
73,pe,73,1152,934,4,4
74,pe,74,996,802,1,6
75,pe,75,899,770,6,3
76,pe,76,837,664,9,9
77,pe,77,832,577,6,8
78,pe,78,717,588,5,9
79,pe,79,600,502,4,7
80,pe,80,611,526,2,7
81,pe,81,568,430,1,5
82,pe,82,536,399,1,3
83,pe,83,475,335,5,2
84,pe,84,441,321,2,7
85,pe,85,397,275,2,6
86,pe,86,318,240,2,3
87,pe,87,243,160,4,1
88,pe,88,230,148,2,4
89,pe,89,217,120,1,4
90,pe,90,198,130,3,4
91,pe,91,161,104,5,2
92,pe,92,126,65,3,0
93,pe,93,106,62,0,3
94,pe,94,98,61,4,3
95,pe,95,78,41,2,1
96,pe,96,61,33,1,0
97,pe,97,32,35,2,1
98,pe,98,34,32,2,0
99,pe,99,32,16,1,0
100,pe,100,14,15,1,0
101,pe,101,25,9,0,0
102,pe,102,20,1,0,0
103,pe,103,10,12,1,0
104,pe,104,5,2,0,0
105,pe,105,2,4,0,0
106,pe,106,4,5,0,0
107,pe,107,2,2,0,0
108,pe,108,2,0,0,0
109,pe,109,2,0,0,0
0,pi,0,973,912,3,3
1,pi,1,850,1024,0,1
2,pi,2,894,904,1,0
3,pi,3,773,762,0,0
4,pi,4,650,711,0,1
5,pi,5,787,789,0,0
6,pi,6,756,839,1,1
7,pi,7,766,776,0,0
8,pi,8,856,768,0,0
9,pi,9,903,835,0,0
10,pi,10,896,817,0,1
11,pi,11,955,928,0,0
12,pi,12,1103,1013,0,0
13,pi,13,1243,1006,0,0
14,pi,14,1286,1061,1,0
15,pi,15,1531,1271,0,1
16,pi,16,1590,1241,0,1
17,pi,17,1841,1395,3,0
18,pi,18,2143,1565,0,1
19,pi,19,2395,1886,0,1
20,pi,20,2560,2198,2,0
21,pi,21,2901,2365,0,0
22,pi,22,3075,2546,2,0
23,pi,23,3348,2665,0,3
24,pi,24,3529,2841,1,1
25,pi,25,3591,2965,1,5
26,pi,26,3616,2890,1,3
27,pi,27,3420,2825,1,3
28,pi,28,3399,2879,4,2
29,pi,29,3562,2953,7,4
30,pi,30,3585,2953,2,7
31,pi,31,4025,3263,1,5
32,pi,32,4210,3374,2,5
33,pi,33,4011,3269,1,5
34,pi,34,4140,3470,3,4
35,pi,35,4090,3452,3,3
36,pi,36,3990,3346,5,8
37,pi,37,3901,3329,3,9
38,pi,38,3993,3274,3,4
39,pi,39,3937,3137,2,1
40,pi,40,3607,2842,3,9
41,pi,41,3736,3077,6,5
42,pi,42,3549,2882,4,7
43,pi,43,3411,2776,5,8
44,pi,44,3316,2697,7,6
45,pi,45,3272,2464,5,6
46,pi,46,3061,2436,5,7
47,pi,47,2845,2164,5,5
48,pi,48,2930,2360,13,6
49,pi,49,2700,2210,2,12
50,pi,50,2720,1987,7,9
51,pi,51,2669,2083,4,7
52,pi,52,2688,2012,6,10
53,pi,53,2546,1917,5,11
54,pi,54,2532,1967,6,11
55,pi,55,2461,1843,5,7
56,pi,56,2449,1811,8,7
57,pi,57,2407,1905,12,10
58,pi,58,2205,1757,14,7
59,pi,59,1903,1521,15,12
60,pi,60,1909,1514,9,8
61,pi,61,1720,1437,12,19
62,pi,62,1703,1316,14,8
63,pi,63,1609,1336,11,23
64,pi,64,1453,1216,10,12
65,pi,65,1298,1076,9,13
66,pi,66,1296,1076,19,19
67,pi,67,1295,1004,12,13
68,pi,68,1237,967,14,18
69,pi,69,1133,1022,20,21
70,pi,70,1122,927,16,15
71,pi,71,972,858,14,24
72,pi,72,866,750,24,14
73,pi,73,836,738,11,23
74,pi,74,762,666,13,23
75,pi,75,664,601,17,22
76,pi,76,643,530,20,23
77,pi,77,688,604,21,27
78,pi,78,554,498,17,15
79,pi,79,495,455,20,31
80,pi,80,507,445,8,21
81,pi,81,525,475,20,37
82,pi,82,445,350,16,26
83,pi,83,350,292,10,15
84,pi,84,365,296,15,22
85,pi,85,368,300,14,19
86,pi,86,289,235,13,17
87,pi,87,184,161,6,9
88,pi,88,245,200,8,15
89,pi,89,204,148,10,23
90,pi,90,159,145,8,14
91,pi,91,124,113,11,10
92,pi,92,114,75,9,12
93,pi,93,80,65,10,7
94,pi,94,90,52,11,7
95,pi,95,57,46,3,6
96,pi,96,37,26,0,1
97,pi,97,31,28,6,3
98,pi,98,31,8,2,0
99,pi,99,18,22,0,1
100,pi,100,17,16,2,2
101,pi,101,10,7,2,1
102,pi,102,14,9,0,3
103,pi,103,11,5,1,1
104,pi,104,3,5,0,0
105,pi,105,3,0,0,0
106,pi,106,3,1,0,0
107,pi,107,0,0,0,0
108,pi,108,1,1,0,0
109,pi,109,2,0,0,0
0,pr,0,137,134,0,0
1,pr,1,175,152,0,0
2,pr,2,153,155,0,0
3,pr,3,153,137,0,0
4,pr,4,133,162,0,1
5,pr,5,169,168,0,0
6,pr,6,184,166,0,0
7,pr,7,183,153,0,0
8,pr,8,183,169,0,0
9,pr,9,150,236,0,0
10,pr,10,203,176,1,0
11,pr,11,155,147,0,0
12,pr,12,144,238,0,0
13,pr,13,168,168,0,0
14,pr,14,197,202,0,0
15,pr,15,246,260,0,0
16,pr,16,240,300,0,0
17,pr,17,315,406,0,0
18,pr,18,395,471,0,0
19,pr,19,542,624,0,0
20,pr,20,652,768,0,0
21,pr,21,749,896,0,0
22,pr,22,924,1023,1,0
23,pr,23,1019,1117,0,0
24,pr,24,1079,1208,0,0
25,pr,25,1129,1322,0,0
26,pr,26,1226,1434,1,0
27,pr,27,1240,1427,0,0
28,pr,28,1226,1428,0,0
29,pr,29,1257,1494,0,0
30,pr,30,1322,1527,0,0
31,pr,31,1433,1591,0,0
32,pr,32,1490,1771,0,0
33,pr,33,1399,1719,0,0
34,pr,34,1490,1761,0,0
35,pr,35,1445,1661,1,1
36,pr,36,1546,1640,0,1
37,pr,37,1615,1808,0,2
38,pr,38,1658,1927,0,2
39,pr,39,1634,1795,1,0
40,pr,40,1618,1763,0,0
41,pr,41,1631,1635,0,2
42,pr,42,1525,1627,0,0
43,pr,43,1539,1538,0,1
44,pr,44,1498,1525,0,0
45,pr,45,1500,1388,0,0
46,pr,46,1391,1332,0,2
47,pr,47,1376,1258,1,2
48,pr,48,1326,1263,1,0
49,pr,49,1348,1182,0,1
50,pr,50,1268,1164,0,1
51,pr,51,1312,1160,1,0
52,pr,52,1247,1090,0,0
53,pr,53,1238,992,2,1
54,pr,54,1215,938,0,0
55,pr,55,1215,997,0,0
56,pr,56,1151,953,1,3
57,pr,57,1102,893,0,0
58,pr,58,1010,729,0,0
59,pr,59,888,748,0,0
60,pr,60,877,663,0,0
61,pr,61,923,645,0,1
62,pr,62,718,637,1,2
63,pr,63,780,583,0,1
64,pr,64,665,518,0,1
65,pr,65,578,494,1,0
66,pr,66,575,443,0,0
67,pr,67,489,373,1,1
68,pr,68,481,363,0,1
69,pr,69,397,329,0,0
70,pr,70,410,314,0,1
71,pr,71,335,258,2,1
72,pr,72,321,255,2,1
73,pr,73,303,226,1,0
74,pr,74,231,216,2,1
75,pr,75,229,155,2,0
76,pr,76,202,153,0,0
77,pr,77,172,145,2,0
78,pr,78,152,138,0,0
79,pr,79,126,98,1,1
80,pr,80,122,99,1,0
81,pr,81,127,101,1,0
82,pr,82,80,65,0,0
83,pr,83,93,60,3,0
84,pr,84,88,52,0,0
85,pr,85,86,55,0,0
86,pr,86,64,48,1,0
87,pr,87,60,40,0,0
88,pr,88,50,27,1,0
89,pr,89,34,14,0,0
90,pr,90,38,26,0,1
91,pr,91,30,10,0,0
92,pr,92,21,12,0,0
93,pr,93,16,8,0,0
94,pr,94,17,6,0,0
95,pr,95,6,1,0,0
96,pr,96,6,5,0,0
97,pr,97,2,2,0,0
98,pr,98,5,1,0,0
99,pr,99,3,2,0,0
100,pr,100,5,0,0,0
101,pr,101,0,0,0,0
102,pr,102,0,0,0,0
103,pr,103,1,1,0,0
104,pr,104,2,0,0,0
105,pr,105,0,0,0,0
106,pr,106,1,1,0,0
107,pr,107,0,1,0,0
108,pr,108,0,0,0,0
109,pr,109,0,0,0,0
0,rj,0,1876,1478,7,10
1,rj,1,875,888,0,7
2,rj,2,678,707,0,0
3,rj,3,609,633,1,1
4,rj,4,541,614,0,0
5,rj,5,631,603,0,0
6,rj,6,738,777,2,0
7,rj,7,732,729,2,0
8,rj,8,770,700,2,1
9,rj,9,795,798,0,0
10,rj,10,861,830,1,0
11,rj,11,947,949,0,1
12,rj,12,1100,1049,0,0
13,rj,13,1102,1163,0,0
14,rj,14,1448,1281,1,1
15,rj,15,1701,1445,0,1
16,rj,16,1910,1586,1,0
17,rj,17,2179,1885,1,0
18,rj,18,2480,2000,0,1
19,rj,19,3189,2450,1,0
20,rj,20,4000,3158,4,1
21,rj,21,4640,3693,1,2
22,rj,22,4900,4030,4,1
23,rj,23,5493,4353,2,3
24,rj,24,5781,4550,2,5
25,rj,25,6070,4697,6,4
26,rj,26,6614,5107,2,6
27,rj,27,6612,5252,3,0
28,rj,28,6712,5526,4,4
29,rj,29,6809,5826,4,4
30,rj,30,7109,5902,3,5
31,rj,31,7385,6142,3,5
32,rj,32,7782,6865,2,5
33,rj,33,7857,6958,8,13
34,rj,34,7889,6905,10,5
35,rj,35,8259,7413,16,9
36,rj,36,8316,7440,8,7
37,rj,37,8590,7565,11,10
38,rj,38,9097,8235,6,13
39,rj,39,9698,8609,7,11
40,rj,40,9184,8043,14,22
41,rj,41,8980,7868,18,17
42,rj,42,8785,7766,14,15
43,rj,43,8454,7630,20,20
44,rj,44,8089,7047,22,18
45,rj,45,7605,6684,10,20
46,rj,46,7627,6715,15,20
47,rj,47,7322,6380,15,27
48,rj,48,7355,6189,21,26
49,rj,49,7231,6043,21,18
50,rj,50,7133,5892,23,33
51,rj,51,6715,5711,22,29
52,rj,52,6745,5609,21,38
53,rj,53,6666,5367,32,24
54,rj,54,6518,5254,24,35
55,rj,55,6752,5633,30,50
56,rj,56,6423,5543,37,40
57,rj,57,6261,5223,30,49
58,rj,58,5867,4842,49,36
59,rj,59,5485,4515,41,51
60,rj,60,5407,4253,34,48
61,rj,61,4782,3765,39,47
62,rj,62,4569,3697,48,40
63,rj,63,4382,3594,54,53
64,rj,64,4030,3190,46,60
65,rj,65,3696,3039,45,52
66,rj,66,3683,2981,61,63
67,rj,67,3267,2772,55,54
68,rj,68,3011,2503,40,61
69,rj,69,2749,2319,34,55
70,rj,70,2591,2226,52,67
71,rj,71,2346,1961,48,52
72,rj,72,2029,1700,53,55
73,rj,73,1901,1582,46,60
74,rj,74,1639,1402,48,58
75,rj,75,1460,1283,47,52
76,rj,76,1317,1116,33,50
77,rj,77,1258,1052,39,52
78,rj,78,1267,913,47,48
79,rj,79,1028,810,35,39
80,rj,80,914,768,33,40
81,rj,81,839,701,39,42
82,rj,82,859,629,40,39
83,rj,83,678,529,29,38
84,rj,84,685,447,35,30
85,rj,85,688,434,28,35
86,rj,86,545,393,35,24
87,rj,87,464,289,26,23
88,rj,88,466,300,26,29
89,rj,89,402,272,15,25
90,rj,90,427,218,23,27
91,rj,91,333,142,17,23
92,rj,92,272,117,16,13
93,rj,93,269,108,20,5
94,rj,94,175,90,11,7
95,rj,95,134,54,8,5
96,rj,96,113,51,9,5
97,rj,97,83,36,5,6
98,rj,98,74,36,3,1
99,rj,99,55,14,1,0
100,rj,100,45,13,3,2
101,rj,101,39,7,1,3
102,rj,102,18,5,0,0
103,rj,103,10,3,1,0
104,rj,104,8,5,1,0
105,rj,105,7,2,0,1
106,rj,106,3,5,0,0
107,rj,107,5,0,0,0
108,rj,108,2,5,0,0
109,rj,109,2,2,0,0
0,rn,0,336,257,1,0
1,rn,1,175,177,1,0
2,rn,2,137,150,0,0
3,rn,3,146,125,1,0
4,rn,4,114,130,0,1
5,rn,5,134,136,0,0
6,rn,6,138,150,0,0
7,rn,7,158,155,0,0
8,rn,8,172,175,0,0
9,rn,9,216,181,0,0
10,rn,10,221,199,0,0
11,rn,11,241,224,0,0
12,rn,12,286,244,0,0
13,rn,13,342,251,0,0
14,rn,14,393,327,0,0
15,rn,15,479,346,0,0
16,rn,16,510,405,0,0
17,rn,17,547,482,0,0
18,rn,18,731,603,1,2
19,rn,19,830,757,0,0
20,rn,20,945,884,0,0
21,rn,21,1118,1040,0,0
22,rn,22,1230,1048,0,0
23,rn,23,1342,1267,0,0
24,rn,24,1587,1309,0,1
25,rn,25,1654,1464,1,1
26,rn,26,1779,1547,0,1
27,rn,27,1849,1557,0,1
28,rn,28,1803,1601,0,0
29,rn,29,1846,1588,0,1
30,rn,30,1870,1702,0,2
31,rn,31,2091,1861,1,1
32,rn,32,2309,1899,2,3
33,rn,33,2378,2018,1,1
34,rn,34,2372,2121,3,2
35,rn,35,2346,2187,2,3
36,rn,36,2251,1965,0,1
37,rn,37,2384,1987,1,3
38,rn,38,2358,2127,4,2
39,rn,39,2403,2155,1,2
40,rn,40,2258,2003,4,2
41,rn,41,2077,1800,3,3
42,rn,42,2004,1782,3,2
43,rn,43,1871,1659,2,5
44,rn,44,1850,1579,1,5
45,rn,45,1684,1514,3,6
46,rn,46,1699,1414,1,2
47,rn,47,1659,1480,3,3
48,rn,48,1571,1430,1,3
49,rn,49,1504,1376,4,3
50,rn,50,1555,1196,5,4
51,rn,51,1520,1237,3,5
52,rn,52,1425,1237,2,9
53,rn,53,1470,1164,3,5
54,rn,54,1451,1215,1,6
55,rn,55,1318,1060,1,7
56,rn,56,1414,1080,5,7
57,rn,57,1308,973,5,8
58,rn,58,1227,987,5,9
59,rn,59,1132,868,6,10
60,rn,60,1095,856,4,4
61,rn,61,960,793,3,4
62,rn,62,916,756,4,5
63,rn,63,995,724,7,5
64,rn,64,880,705,9,8
65,rn,65,763,647,4,9
66,rn,66,688,624,9,10
67,rn,67,700,563,5,11
68,rn,68,652,491,2,13
69,rn,69,574,429,6,5
70,rn,70,637,521,7,11
71,rn,71,545,482,9,14
72,rn,72,506,441,4,14
73,rn,73,564,423,8,14
74,rn,74,486,391,6,9
75,rn,75,431,336,10,3
76,rn,76,354,276,9,10
77,rn,77,315,282,6,11
78,rn,78,292,302,7,8
79,rn,79,309,250,5,11
80,rn,80,314,221,8,12
81,rn,81,294,212,16,14
82,rn,82,248,212,9,12
83,rn,83,226,165,10,6
84,rn,84,188,175,7,5
85,rn,85,164,147,6,3
86,rn,86,155,123,4,7
87,rn,87,121,91,0,4
88,rn,88,90,89,2,3
89,rn,89,119,66,5,6
90,rn,90,89,58,1,4
91,rn,91,70,69,3,4
92,rn,92,58,43,2,2
93,rn,93,67,48,4,6
94,rn,94,47,32,4,1
95,rn,95,33,30,1,7
96,rn,96,47,17,1,2
97,rn,97,22,15,2,2
98,rn,98,16,6,2,0
99,rn,99,12,11,2,0
100,rn,100,19,6,0,1
101,rn,101,7,4,0,0
102,rn,102,10,3,1,0
103,rn,103,5,4,1,1
104,rn,104,5,2,0,0
105,rn,105,4,1,0,0
106,rn,106,2,1,0,0
107,rn,107,0,0,0,0
108,rn,108,1,0,0,0
109,rn,109,2,1,0,0
0,ro,0,766,723,3,7
1,ro,1,343,373,4,0
2,ro,2,317,321,0,2
3,ro,3,273,284,0,0
4,ro,4,285,284,2,0
5,ro,5,283,298,0,1
6,ro,6,316,334,1,0
7,ro,7,349,358,0,0
8,ro,8,363,329,0,0
9,ro,9,391,410,0,0
10,ro,10,441,419,0,0
11,ro,11,521,462,0,1
12,ro,12,593,574,0,0
13,ro,13,740,669,0,2
14,ro,14,900,729,2,0
15,ro,15,987,823,2,1
16,ro,16,1168,951,2,4
17,ro,17,1276,1071,2,1
18,ro,18,1465,1310,1,2
19,ro,19,1890,1646,1,2
20,ro,20,2031,1801,6,0
21,ro,21,2331,1923,1,1
22,ro,22,2296,1989,1,3
23,ro,23,2540,2065,7,5
24,ro,24,2538,2201,5,6
25,ro,25,2808,2279,3,4
26,ro,26,2880,2289,5,7
27,ro,27,3041,2336,5,7
28,ro,28,2920,2415,9,10
29,ro,29,2897,2478,5,13
30,ro,30,2991,2476,9,10
31,ro,31,3075,2672,11,13
32,ro,32,3299,2691,14,10
33,ro,33,3242,2712,11,9
34,ro,34,3271,2767,11,20
35,ro,35,3281,2851,24,23
36,ro,36,3216,2826,16,32
37,ro,37,3139,2673,16,18
38,ro,38,3285,2905,23,34
39,ro,39,3253,2909,27,17
40,ro,40,3175,2678,17,29
41,ro,41,3067,2629,21,36
42,ro,42,2849,2589,28,39
43,ro,43,2720,2335,22,40
44,ro,44,2652,2320,27,40
45,ro,45,2625,2258,25,37
46,ro,46,2573,2151,22,52
47,ro,47,2338,2013,23,47
48,ro,48,2343,2082,46,54
49,ro,49,2283,1910,28,53
50,ro,50,2178,1878,30,58
51,ro,51,2158,1895,32,59
52,ro,52,2030,1909,48,65
53,ro,53,1889,1812,38,77
54,ro,54,1933,1756,44,62
55,ro,55,1826,1714,53,59
56,ro,56,1730,1604,30,60
57,ro,57,1643,1685,51,85
58,ro,58,1547,1525,49,75
59,ro,59,1384,1327,52,70
60,ro,60,1280,1323,55,76
61,ro,61,1178,1158,51,67
62,ro,62,1195,1199,50,70
63,ro,63,1055,1027,77,72
64,ro,64,996,960,55,79
65,ro,65,932,868,54,77
66,ro,66,831,897,54,89
67,ro,67,816,810,64,94
68,ro,68,724,715,68,87
69,ro,69,660,639,63,80
70,ro,70,608,607,55,96
71,ro,71,512,586,62,89
72,ro,72,495,538,71,85
73,ro,73,449,521,41,87
74,ro,74,442,420,67,70
75,ro,75,340,387,52,76
76,ro,76,357,351,43,67
77,ro,77,347,348,51,58
78,ro,78,321,341,55,63
79,ro,79,233,234,45,52
80,ro,80,256,243,34,39
81,ro,81,211,229,32,44
82,ro,82,192,195,39,44
83,ro,83,164,171,41,44
84,ro,84,155,150,35,43
85,ro,85,142,127,19,27
86,ro,86,122,126,30,36
87,ro,87,84,96,17,27
88,ro,88,84,89,28,33
89,ro,89,63,72,11,26
90,ro,90,55,68,14,17
91,ro,91,40,53,11,22
92,ro,92,41,41,8,13
93,ro,93,38,31,13,10
94,ro,94,31,28,8,14
95,ro,95,17,22,5,9
96,ro,96,8,13,4,3
97,ro,97,14,13,9,7
98,ro,98,5,4,0,3
99,ro,99,6,3,1,0
100,ro,100,6,1,1,0
101,ro,101,7,6,2,3
102,ro,102,1,2,1,1
103,ro,103,3,4,1,1
104,ro,104,3,3,0,0
105,ro,105,1,1,0,0
106,ro,106,2,1,0,0
107,ro,107,0,0,0,0
108,ro,108,0,0,0,0
109,ro,109,0,1,0,0
0,rr,0,579,568,3,0
1,rr,1,408,488,0,0
2,rr,2,337,361,1,0
3,rr,3,260,345,0,0
4,rr,4,281,266,0,0
5,rr,5,242,275,0,0
6,rr,6,281,264,1,0
7,rr,7,277,239,1,0
8,rr,8,307,274,0,0
9,rr,9,328,291,0,0
10,rr,10,324,271,0,0
11,rr,11,344,284,0,0
12,rr,12,346,331,0,0
13,rr,13,423,348,0,0
14,rr,14,435,342,0,0
15,rr,15,481,377,0,0
16,rr,16,565,414,0,0
17,rr,17,644,475,0,0
18,rr,18,707,523,0,0
19,rr,19,823,577,1,0
20,rr,20,938,668,0,0
21,rr,21,1049,799,0,0
22,rr,22,1069,834,2,0
23,rr,23,1176,928,3,2
24,rr,24,1224,905,0,0
25,rr,25,1236,928,3,0
26,rr,26,1288,936,2,1
27,rr,27,1304,981,0,0
28,rr,28,1278,977,3,0
29,rr,29,1328,1033,3,1
